wort,artikel,beschreibung
Staat,der,politische Organisation eines Landes mit Regierung und Verwaltung
Bund,der,Zusammenschluss von Staaten oder Organisationen
Kanton,der,Verwaltungseinheit in der Schweiz
Aufsatz,der,schriftliche Arbeit zu einem vorgegebenen Thema
Analyse,die,detaillierte Untersuchung eines Textes oder Problems
Interpretation,die,Deutung und Erklärung eines literarischen Textes
Roman,der,längere erzählende Prosaform mit komplexer Handlung
Kurzgeschichte,die,kurze Erzählung mit pointiertem Verlauf
Gedicht,das,literarischer Text in Versen und Strophen
Essay,der,kritisch-argumentative Abhandlung in freier Form
Prüfung,die,Test zur Überprüfung von Wissen oder Fähigkeiten
Referat,das,Vortrag zu einem bestimmten Thema
Argumentation,die,logisch aufgebaute Begründung einer Behauptung
Grammatik,die,Regeln für den Aufbau und die Struktur einer Sprache
Rechtschreibung,die,festgelegte Schreibweise von Wörtern
Satzbau,der,Anordnung der Wörter im Satz nach grammatischen Regeln
Metapher,die,sprachliches Bild mit übertragener Bedeutung
Symbol,das,Zeichen mit übertragener oder tieferer Bedeutung
Zitat,das,wörtlich übernommene Textstelle aus einer Quelle
Quelle,die,Ursprung oder Herkunft einer Information oder eines Textes
Einleitung,die,Anfangsteil eines Textes oder einer Rede
Hauptteil,der,zentraler Teil eines Textes mit den wichtigsten Aussagen
Schluss,der,abschließender Teil eines Textes mit Fazit
Gliederung,die,strukturierte Aufteilung eines Textes
Struktur,die,geordneter Aufbau eines Textes oder Arguments
Ausdruck,der,sprachliche oder schriftliche Darstellung von Gedanken
Formulierung,die,besondere sprachliche Gestaltung eines Gedankens
Beleg,der,Beweis oder Nachweis für eine Behauptung
Beispiel,das,konkrete Veranschaulichung einer Aussage
Thema,das,Gegenstand oder Leitidee eines Textes
Motiv,das,wiederkehrendes Element in Literatur oder Kunst
Figur,die,Person oder Gestalt in einem literarischen Werk
Erzähler,der,Stimme die eine Geschichte vermittelt
Perspektive,die,Blickwinkel oder Standpunkt in einem Text
Stilmittel,das,sprachliches Werkzeug zur Wirkungserzeugung
Rhetorik,die,Kunst der wirkungsvollen Rede und Überzeugung
Synonym,das,Wort mit gleicher oder ähnlicher Bedeutung
Antonym,das,Wort mit entgegengesetzter Bedeutung
Ironie,die,verdeckte Kritik durch gegensätzliche Aussage
Alliteration,die,Wiederholung des Anfangslauts bei aufeinanderfolgenden Wörtern
Personifikation,die,Darstellung von Dingen oder Ideen als handelnde Wesen
Sprachkompetenz,die,Fähigkeit eine Sprache korrekt und angemessen zu verwenden
Wortschatz,der,Gesamtheit der bekannten und verwendeten Wörter
Lesestrategie,die,bewusste Vorgehensweise beim Verstehen von Texten
Verständnis,das,Erfassen und Begreifen von Inhalten
Argument,das,Begründung für eine Behauptung
Thesenpapier,das,kurze Zusammenfassung von Hauptaussagen und Argumenten
Diskussion,die,Austausch von Meinungen und Argumenten
Kommunikation,die,Übermittlung von Informationen zwischen Personen
Sprache,die,System von Lauten Wörtern und Regeln zur Verständigung
Dialog,der,Gespräch zwischen zwei oder mehreren Personen
Monolog,der,Rede oder Gedankengang einer einzelnen Figur
Redewendung,die,feste sprachliche Verbindung mit übertragener Bedeutung
Sprichwort,das,kurze Volksweisheit mit allgemeiner Gültigkeit
Erörterung,die,schriftliche Abwägung verschiedener Standpunkte
Präsentation,die,Darstellung eines Themas vor Publikum
Aufgabe,die,Anweisung die gelöst werden muss
Lösung,die,Beantwortung oder Bearbeitung einer Aufgabe
Bewertung,die,Einschätzung einer Leistung oder eines Textes
Note,die,Ziffer oder Wort zur Beurteilung einer Leistung
Korrektur,die,Überprüfung und Verbesserung eines Textes
Fehler,der,Abweichung von einer Norm oder Regel
Regel,die,verbindliche Vorschrift oder Norm
Definition,die,genaue Bestimmung eines Begriffs
Bedeutung,die,Sinn oder Inhalt eines Wortes oder Textes
Inhalt,der,Gesamtheit der Aussagen eines Textes
Zusammenfassung,die,kurze Darstellung der wesentlichen Inhalte
Paraphrase,die,inhaltliche Wiedergabe eines Textes in eigenen Worten
Überleitung,die,Verbindung zwischen Abschnitten oder Argumenten
Begründung,die,Darlegung der Gründe für eine Aussage
Schreibstil,der,individuelle Art des schriftlichen Ausdrucks
Lesbarkeit,die,Grad wie gut ein Text verstanden werden kann
Textebene,die,Abstraktionsstufe oder Dimension eines Textes
Kontext,der,Zusammenhang in dem etwas steht
Situation,die,Umstände in denen etwas geschieht
